ele_no,material_id,node_A,node_B,node_C,node_D
0,0.0,0,5,6,1
1,0.0,1,6,7,2
2,0.0,2,7,8,3
3,0.0,3,8,9,4
4,0.0,5,10,11,6
5,0.0,6,11,12,7
6,0.0,7,12,13,8
7,0.0,8,13,14,9
8,0.0,10,15,16,11
9,0.0,11,16,17,12
10,0.0,12,17,18,13
11,0.0,13,18,19,14
12,0.0,15,20,21,16
13,0.0,16,21,22,17
14,0.0,17,22,23,18
15,0.0,18,23,24,19
16,0.0,20,25,26,21
17,0.0,21,26,27,22
18,0.0,22,27,28,23
19,0.0,23,28,29,24
20,0.0,25,30,31,26
21,0.0,26,31,32,27
22,0.0,27,32,33,28
23,0.0,28,33,34,29
24,0.0,30,35,36,31
25,0.0,31,36,37,32
26,0.0,32,37,38,33
27,0.0,33,38,39,34
28,0.0,35,40,41,36
29,0.0,36,41,42,37
30,0.0,37,42,43,38
31,0.0,38,43,44,39
